Factors,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline
Creatine,282000000,301000000,304000000,327000000,316000000,341000000,290000000,275000000,323000000,314000000,282000000,293000000,307000000,243000000,315000000,306000000,297000000,323000000,321000000,283000000,328000000,326000000,323000000,306000000,317000000,364000000,353000000,327000000,346000000,340000000,353000000,339000000,364000000
CoQ9,117000,43400,64500,79600,54900,33000,27900,61500,54200,39500,99800,89700,48600,95500,84400,80400,62000,30700,32700,27200,39000,53800,120000,56500,84900,34500,87200,38600,33600,44500,25900,30900,31900
CoQ9H2,19500,9960,16300,18700,12700,9270,11000,11200,17700,13300,16200,12800,13000,19600,14400,18300,12300,5640,10000,12500,12600,7800,18100,16800,20500,18500,18900,5910,12500,14000,4220,10300,7130
Retinol,49900,28400,46800,26600,24900,49900,41800,32800,43600,42500,27900,52600,52000,69400,35900,37000,30200,28700,42000,63400,29200,34400,40000,45100,41700,32800,27100,39000,32300,34400,64200,187000,41700
Alpha-Tocopherol,1510000,1220000,1330000,1210000,1400000,1180000,1330000,1240000,1470000,1040000,1620000,1460000,1040000,1490000,1640000,1730000,1500000,1380000,1160000,489000,1340000,1570000,1860000,1480000,1860000,1330000,1210000,1230000,1180000,1080000,1230000,1030000,1050000
Vitamin K2,1390000,920000,5070000,990000,1890000,1310000,2860000,1430000,1030000,1450000,3770000,1310000,965000,3300000,1400000,1220000,3040000,1690000,1210000,758000,1630000,2150000,1780000,1830000,11600000,1750000,2990000,1590000,4430000,1200000,1220000,1060000,1170000
Cholesterol,13000000,8500000,10100000,10400000,9740000,8340000,9700000,9900000,7300000,5000000,9270000,5170000,6130000,11300000,9990000,8970000,10000000,6730000,7510000,4300000,4230000,9410000,7930000,8150000,8520000,6830000,10900000,8900000,7170000,6990000,3740000,4330000,6560000
"5,6-trans-25-Hydroxyvitamin D3",6120000,3200000,4290000,5060000,5350000,3430000,6860000,6650000,10100000,5030000,7070000,6950000,6720000,13000000,8740000,7910000,8880000,6630000,7870000,1610000,6950000,8570000,9600000,6560000,5220000,5800000,5570000,5650000,4990000,5950000,4900000,5510000,4720000
Retinal,80700,59300,98900,73600,57000,72100,95000,74000,34100,40900,71900,65900,55400,50500,51400,53400,49800,65200,57700,47100,77000,116000,54500,107000,42400,89700,99000,42900,86800,89600,71900,82300,70700
7-ketocholesterol,4120000,2220000,2650000,3070000,3850000,1940000,4470000,4210000,3450000,1900000,2400000,2190000,1950000,6790000,3390000,2950000,4760000,1910000,3280000,6640000,2490000,2910000,3650000,2200000,2540000,1340000,2010000,1770000,1260000,1330000,958000,846000,710000
Cer(d18:1/22:0 OH),1070000,656000,638000,1040000,744000,744000,1140000,717000,1060000,378000,1070000,751000,615000,824000,733000,831000,966000,1000000,689000,140000,869000,1020000,1560000,722000,691000,752000,804000,1050000,732000,791000,607000,651000,684000
Cer(d18:1/18:0),828000,631000,553000,940000,881000,813000,934000,805000,879000,279000,640000,662000,328000,502000,693000,627000,737000,973000,590000,101000,843000,754000,1130000,676000,546000,756000,625000,650000,546000,912000,536000,717000,614000
Cer(d18:1/22:0),924000,617000,522000,1000000,973000,1050000,953000,967000,1300000,463000,952000,667000,655000,749000,702000,865000,1320000,1200000,746000,165000,1210000,929000,1870000,752000,544000,554000,845000,1020000,914000,1130000,1100000,1160000,842000
Cer(d18:1/24:0),2720000,1980000,1160000,2490000,2810000,2630000,2010000,3290000,3720000,1250000,3010000,1910000,2100000,2670000,2240000,1910000,3350000,3150000,2290000,478000,3380000,2260000,4660000,2400000,1750000,1490000,1950000,2830000,2300000,3040000,3130000,3130000,2290000
Cer(d18:1/24:1),9330000,7980000,5600000,8960000,9570000,9180000,9930000,6550000,11700000,4630000,8870000,9360000,6100000,9740000,9230000,8610000,11800000,9100000,7490000,1700000,9720000,8220000,14500000,8380000,5740000,6140000,7600000,9370000,8190000,9760000,7390000,9700000,7790000
Cer(d18:1/24:2),4230000,2690000,2510000,3580000,3510000,3580000,4430000,2060000,4570000,1760000,3360000,3660000,2550000,3600000,4030000,3600000,4830000,4050000,3680000,727000,3740000,4090000,4870000,3690000,2530000,3590000,3870000,4980000,2770000,4160000,2980000,3690000,3940000
Cer(d18:1/25:0),3230000,2970000,2410000,3740000,3340000,3380000,3810000,2110000,3740000,1670000,3250000,3040000,2300000,3030000,3400000,3350000,4280000,3710000,3300000,654000,3510000,3970000,4780000,3150000,2580000,2720000,3380000,4940000,2850000,4200000,2760000,3380000,2950000
Vitamin D3,1250000,901000,1070000,1090000,1280000,1000000,1260000,1420000,1110000,821000,1480000,1110000,1200000,1400000,1340000,1240000,1220000,1150000,1210000,3520000,1090000,1640000,1540000,1420000,1300000,1370000,1290000,1080000,1190000,1260000,1080000,918000,1040000
Cer(d18:1/23:0),944000,716000,697000,1020000,902000,1120000,1090000,924000,1420000,569000,1200000,787000,866000,962000,917000,959000,1210000,1140000,879000,183000,1140000,1020000,1620000,994000,744000,798000,960000,1180000,906000,1150000,1150000,1090000,970000
N-oleoylethanolamine,852000,614000,654000,719000,554000,561000,606000,633000,440000,381000,555000,469000,571000,479000,456000,436000,427000,414000,423000,158000,473000,447000,471000,528000,383000,499000,424000,525000,573000,498000,394000,344000,471000
2-Arachidonylglycerol,272000,180000,282000,200000,494000,224000,325000,260000,148000,134000,193000,102000,129000,197000,132000,171000,122000,166000,134000,71400,146000,167000,145000,212000,191000,92800,147000,187000,170000,124000,92300,65900,124000
Testosterone,451000,275000,164000,146000,95700,135000,139000,59400,259000,133000,124000,179000,136000,125000,168000,189000,137000,94700,204000,173000,132000,170000,159000,137000,229000,261000,192000,242000,205000,146000,209000,126000,168000
PC(22:6/P-18:0),90100,67600,70200,72100,83600,63500,83500,73200,75700,43100,162000,83300,54500,70000,56400,81400,67500,90500,60600,192000,126000,71200,98200,74500,114000,65100,74400,83100,66100,80900,62200,88500,74700
PC(16:0/16:0),8910000,8020000,8950000,8550000,9130000,11200000,11600000,9250000,13100000,8270000,11800000,11800000,10900000,11000000,11300000,11800000,12900000,12900000,12300000,20300000,13200000,12500000,13500000,8660000,8840000,14000000,9930000,15600000,9850000,13800000,9900000,11900000,12500000
PC(16:0/18:1),9840000,11400000,8800000,9210000,11600000,10400000,10900000,13400000,12100000,10400000,12100000,12000000,8080000,14700000,11600000,10500000,11400000,12800000,12100000,24300000,13200000,10500000,15600000,9760000,11500000,8320000,7530000,9530000,7390000,8850000,7550000,8010000,7300000
PC(18:0/18:2),10500000,10700000,11000000,12100000,12300000,12800000,12200000,11400000,18500000,15100000,16000000,16200000,12900000,17700000,19700000,15000000,19600000,16200000,13200000,26600000,16000000,14200000,14500000,12700000,17200000,12100000,13800000,12700000,10200000,13300000,13100000,13800000,12300000
Corticosterone,857000,712000,629000,807000,759000,763000,677000,431000,778000,499000,617000,737000,760000,478000,659000,552000,896000,445000,782000,266000,475000,751000,683000,792000,914000,1190000,599000,825000,831000,1470000,956000,872000,684000
