,pvalues,standard error,RMSE,Spearman Corr
Diethanolamine,0.03389107570334382,1.1101801542806413,0.5839193831803817,-0.42318037838853206
Diethanolamine + 5.846524,0.0628832404284035,3.737103006080008,0.5457171297218107,-0.37977726265637496
Diethanolamine+5.846524,0.0771967693953071,3.8116533031117212,0.5391495726429012,-0.3146725890581392
D-Homoserine,0.11665682707144392,0.22146077830026345,0.5350998956792276,-0.22790114369548461
Glutarylglycine,0.12471485898367082,2.070370590122714,0.6167970005026644,-0.2929710311920607
Ethanolamine phosphate (Phosphoethanolamine),0.2529728069404057,0.09647514361697725,0.5619157211068405,-0.05433688981034174
2-Deoxyglucose,0.2826065808225988,1.2812918537609317,0.5551937145625838,0.22786635759382498
D-4-Hydroxyphenylglycine,0.29563478251928765,0.28459740973252184,0.5080567379365403,-0.09765701039735356
Isobutylglycine,0.3056580139297277,0.315054589045217,0.5348069611082298,-0.23871713652686424
"3-Hydroxy-N-glycyl-2,6-xylidine (3-Hydroxyglycinexylidide)",0.3939595225146042,0.8079652096975244,0.49933663746875906,0.18446324186166782
Phenylalanine,0.411824125985766,1.2133313286568204,0.5236545458974263,-0.16276168399558927
Diethanolamine+5.6714797,0.4172619542564667,0.9479797272562146,0.5611463503046437,-0.1302093471964714
1-heptadecanoyl-2-(9Z-tetradecenoyl)-sn-glycero-3-phosphoserine,0.44258077388522354,1.2567707778548523,0.5304235246037374,-0.1302093471964714
Isobutyrylglycine methyl ester,0.48386944409446375,0.4396695079710481,0.5101740704971341,-0.0651046735982357
3-Hydroxy-N-glycyl-2_6-xylidine(3-Hydroxyglycinexylidide),0.5171796497195562,0.7835621289825363,0.5085100210620372,0.1302093471964714
Distearylphosphatidylethanolamine,0.5174058385666883,0.7676657812566366,0.5313086207338665,-0.1953140207947071
Isobutyrylglycinemethylester,0.5582147395825943,0.4301185438398751,0.5111646595338063,-0.03255233679911785
Diethanolamine + 5.564596,0.5789550215423,0.1073045344280107,0.5393289382217177,0.21162249057437857
L-4-Hydroxy-3-methoxy-a-methylphenylalanine,0.5907194515312744,0.912576646884563,0.5266146100233777,-0.1410601261295107
Methyl o-methoxyhippuric acid,0.606254292936246,0.08696565931627731,0.5439260502048024,-0.14181974457879848
Diethanolamine + 5.748325,0.6127842679402303,0.10271684024693113,0.5156970448627147,0.027273027803615093
Diethanolamine+5.564596,0.6296588297698589,1.3185526186307692,0.5375092878350971,0.10850778933039285
2-Methylbutyrylglycine,0.6426704596539352,0.15097242994625726,0.5342830458873189,0.40147882052245354
1-heptadecanoyl-2-(9Z-tetradecenoyl)-sn-glycero-3-phosphoserine+5.069642,0.7145138668240416,0.10487125788611976,0.521444926076739,0.0
1-octadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine,0.7323252673900267,0.27250671591079695,0.5284674881799615,-0.10850778933039285
Ethanolaminephosphate(Phosphoethanolamine),0.7685585637812435,0.6629275821881109,0.5378246691179742,-0.010850778933039285
Diethanolamine + 5.6714797,0.7849175010285865,0.07036592882772438,0.5203408990376972,-0.022110286009454527
2-Pyridylacetylglycine,0.7958701149246662,0.46946157629754465,0.5276526649638918,0.16276168399558927
Distearyl phosphatidyl ethanolamine,0.8035652707386287,0.6248030857131225,0.5341804457167859,0.05425389466519642
1-heptadecanoyl-2-(9Z-tetradecenoyl)-sn-glycero-3-phosphoserine + 5.069642,0.8687700440034849,0.07911715504765292,0.5301645121248434,0.09654197822441797
1-Methylinosine,0.8973729877395279,0.8731529889926067,0.5293715899380773,0.02170155786607857
Diethanolamine+5.748325,0.9776956398409083,0.7237749618896304,0.5286424100616515,0.0
