,pvalues,standard error,RMSE,Spearman Corr
Propionylglycinemethylester,0.06548382899783402,0.7750958035405668,0.4332244700997339,0.34296226851232137
2-Methylbutyrylglycine+6.5558777,0.06550575435765536,0.3543893419912819,0.46658002864542564,0.4034850217792016
2-Methylbutyrylglycine,0.0656928740327038,0.47720129042257775,0.5206162836224346,0.3227880174233613
Dimethylglycine+2.8044205,0.06922961858520506,0.8164194260232895,0.4537130837234992,0.34296226851232137
Propionylglycinemethylester+6.2598743,0.07216330980439947,0.4634422574618374,0.44888033343469197,0.3833107706902415
Propionylglycine methyl ester + 6.2598743,0.0728455962789466,0.47640734859025574,0.4545787262365796,0.41357214732368164
2-Methylbutyrylglycine + 6.5558777,0.07788477671319369,0.3819049059990428,0.4655826812450141,0.36313651960128146
Propionylglycine methyl ester,0.09794185893370362,0.7634962765640165,0.43741646568082515,0.28243951524544114
1-O-(1Z-hexadecenyl)-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine,0.1027845338643821,0.6538001531848833,0.4420183143901417,-0.3530493940568014
Dimethylglycine + 2.8044205,0.13469926854993963,0.6944216953719854,0.44934971482439273,0.2219167619785609
"1-heptadecanoyl, 2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine",0.18434903084764465,0.8782917245303193,0.525863636613297,0.2723523897009611
L-4-Hydroxy-3-methoxy-a-methylphenylalanine,0.22776499697507824,0.4921240121163648,0.5005580018927076,-0.32283729427540375
Propionylglycinemethylester+3.163646,0.23065062730925867,0.3316425658152385,0.464611039235839,0.2017425108896008
Dimethylglycine+2.050125,0.24166906228850282,0.10102381424648156,0.47767236026646426,-0.04037315754360501
Propionylglycine methyl ester + 3.163646,0.28689881640915516,0.3579669970681237,0.4471677874669893,0.13113263207824052
Diethanolamine,0.2971450953181073,0.3980070009610966,0.4791110148994075,-0.13113263207824052
Diethanolamine + 6.332912,0.3451134691469451,0.654444294656365,0.45231573399791797,-0.1008712554448004
2-Methylbutyrylglycine + 2.0774822,0.380187685713406,0.33646004655633316,0.4775107027118796,-0.1513068831672006
Diethanolamine + 5.8253593,0.38814657429752375,1.8280740811039546,0.4311130032269933,-0.1008712554448004
Homoserine,0.39941420498312563,0.5142943331755464,0.48635666261891397,-0.2219167619785609
Diethanolamine+6.6559505,0.46169034364853856,0.1812638571210683,0.4750961443040488,-0.010088665446106367
1-Methylinosine,0.4794803595337598,0.7078733265201148,0.4491567224843808,0.1008712554448004
2-Methylbutyrylglycine+2.0774822,0.4914312805337694,0.3504941013721524,0.47614478179389924,-0.1513068831672006
Dimethylglycine + 6.2130203,0.5138181830361068,0.09492727351284164,0.47694894725046977,0.0
Capryloylglycine,0.553678213124623,0.2972340002782081,0.4908455554375221,0.03026137663344012
Dimethylglycine + 2.050125,0.5628837913601602,0.07069156188205493,0.4664150277424308,-0.07122123116119197
Diethanolamine + 5.649868,0.5653476694119974,0.44110142122351453,0.49130028140192483,-0.01008712554448004
1-heneicosanoyl-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine,0.5703748275514482,0.6230043518479148,0.44719565338267775,-0.12104550653376048
Dimethylglycine+6.4713974,0.5947526644299361,0.9554365845186072,0.47644098366448495,-0.08069700435584032
"1-O-(1Z-hexadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine",0.6018580404184233,0.440052799668132,0.4495578154350619,-0.08069700435584032
Diethanolamine + 6.525427,0.6083793437659937,0.1178828984237785,0.4757746138445302,-0.16646297986075506
1-(8-[3]-ladderane-octanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine,0.7027553740030985,0.6113706895690517,0.46447560788667536,-0.11095838098928044
Diethanolamine + 6.6559505,0.702760133111052,0.08146522833987285,0.46792750355681356,-0.13153475700890735
Dimethylglycine + 4.069634,0.7162361279603833,0.07028735742046342,0.4770429954534334,0.010351168234075616
1-heptadecanoyl_2-(5Z_8Z_11Z_14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine,0.7299467054117365,0.5875751060430243,0.4805807103683886,0.1008712554448004
Diethanolamine+5.8253593,0.7877226930139377,1.5748785840925084,0.46665834489370384,-0.02017425108896008
2-Methylbutyrylglycine+3.1958613,0.7962583625230978,0.3738976904858421,0.47705774407063095,0.14121975762272057
Dimethylglycine,0.8260296152493382,0.18415877911317952,0.47073133636162207,-0.1008712554448004
N-arachidonoyl D-serine,0.8523017379919035,0.14456776231516957,0.4721159158536907,-0.17148113425616068
Dimethylglycine + 6.4713974,0.8911020546563367,0.846929337015261,0.47056561675473224,0.0
Diethanolamine+5.527126,0.8951274863557679,0.890842123027906,0.4731967053518871,0.07060987881136029
Diethanolamine+6.525427,0.8990012866567889,0.81715725866493,0.47761431139815286,-0.2219167619785609
