,t-score,p-value
C49 H30 Cl N O,4.646927953423073,3.188173695389058e-05
11-deoxy-PGE2,-3.319010167372347,0.0018465862618872897
1-Hexadecyl-2-arachidonoyl-glycerol,-3.2110983939770703,0.0025039067082765517
C31 H59 Cl N6 O2,-3.1696252182322002,0.0028111710858240773
C51 H36 Cl N,3.1683806980988733,0.002820920564946093
8-Amino-7-oxononanoate,3.0041587129644447,0.00442816854745617
BiliverdinIX+1.4045436,-2.9109512724728575,0.005688772938658311
C23 H5 N O,-2.873839321728479,0.006278317263146977
C4 H8 N2 O4 S,-2.8332516355222137,0.006987949575697025
Propionylglycinemethylester,2.7995681069863596,0.007632744043296422
2-Pyrrolidinone + 2.8319786,2.714852839941076,0.009506105233666535
C32 H30 N2 S3,-2.704829958230783,0.0097538573467342
5-Acetyl-4-methylthiazole,2.6364118849277705,0.01161051723108843
C42 H83 N O7 S,-2.5934873449679587,0.012935643830908644
C40 H34 Cl N3 O2,2.582064159243962,0.013310906832826713
C38 H58 N6 O4,-2.558399909061172,0.014120169879092325
ValSerLys,-2.524581879790963,0.015354782017737616
C31 H43 N3 O8,-2.5182014836852593,0.015598461568355112
2-Pyrrolidinone+2.8319786,2.50961518373799,0.01593194713789997
C11 H20 N2 O3 S,2.4455531384107307,0.0186319914544328
C8 H12 N2 O3 S3,-2.410291616990207,0.02028903610531664
C12 H25 N7 O2,-2.392408872628543,0.021179276105806173
"GPEtn(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",-2.355054751126442,0.02315333706900798
PROPOXUR,-2.3230540214899853,0.024974352417087734
1-octadecanoyl-rac-glycerol,-2.310726205646936,0.025709446430778073
2-Pyrrolidinone + 2.0697286,2.2920497686287282,0.026860025717296388
Terephthalicacid,2.259011516227638,0.029008493248602066
ValSerLys+1.0849711,2.2496752911961653,0.02964275707743853
C18 H28 O3,-2.2386545764820442,0.0304073203954274
C31 H34 N8 O4 S,-2.23332856022512,0.030783059512607396
Uricacid,2.2319471295241717,0.030881187964191842
Terephthalic acid,2.228779456764073,0.03110725027262526
C4 H11 N O3 + 6.5848055,2.189728928629551,0.03401723172094278
C20 H31 N5 O,-2.1810915179818426,0.03469252204037139
Uric acid,2.1720755527401154,0.03541002294997751
Biliverdin IX + 1.4045436,-2.1342987794307797,0.03856074221046586
C17 H32 Cl N3 O,-2.1296174904349505,0.03896787114882372
C21 H3 N3 O3,-2.0882764172803934,0.04273034109144424
C31 H48 S5,-2.064155111914148,0.04506946295297217
C28 H31 N5 O10 S,-2.0544187231614672,0.04604484033037173
