,pvalues,standard error,RMSE,Spearman Corr
D-4-Hydroxyphenylglycine,0.06711822126938656,1.1217755237987073,0.49148570275287196,-0.2811686550959125
2-Pyridylacetylglycine,0.18531881660786198,0.5771873975170883,0.523949451642802,0.2915823089883537
Phenylalanine,0.19675633191739572,0.4332059275419292,0.4940862904163096,-0.12496384670929443
D-Homoserine,0.20876929390811094,0.7242589841767958,0.4652151945671199,-0.11455019281685323
2-Methylbutyrylglycine,0.2729077956795234,0.762013705254956,0.5012350121052666,0.2811686550959125
"3-Hydroxy-N-glycyl-2,6-xylidine (3-Hydroxyglycinexylidide)",0.28291291406375874,2.0258415924433524,0.4672775108377571,0.21868673174126524
3-Hydroxy-N-glycyl-2_6-xylidine(3-Hydroxyglycinexylidide),0.35241518143257267,0.4843653228228571,0.4751295956472594,0.22910038563370647
1-heptadecanoyl-2-(9Z-tetradecenoyl)-sn-glycero-3-phosphoserine+5.069642,0.3825609851015963,0.4495413383150307,0.485896233500057,0.20415977658449386
Methyl o-methoxyhippuric acid,0.4592112144334214,0.45439749068277924,0.5022972865875472,0.0785229909940361
1-heptadecanoyl-2-(9Z-tetradecenoyl)-sn-glycero-3-phosphoserine + 5.069642,0.47278331751026437,0.4387351410855618,0.5176713085749268,-0.12905397422623996
2-Deoxyglucose,0.4911918160705304,0.38499404472675886,0.5106298747603113,-0.04165461556976481
1-octadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine,0.5943282012481788,0.6851713222740838,0.4992345769200867,0.07289557724708842
Isobutyrylglycinemethylester,0.7240452028843308,0.41119069284544624,0.4853593279149252,0.020827307784882405
Isobutylglycine,0.7377402983999093,0.48026367400465797,0.5105733704901875,0.11455019281685323
Isobutyrylglycine methyl ester,0.7484240727062663,0.42019910714083725,0.48613468411067173,0.020827307784882405
1-heptadecanoyl-2-(9Z-tetradecenoyl)-sn-glycero-3-phosphoserine,0.7560769555321718,0.47937834017709224,0.4936782692109728,-0.04165461556976481
L-4-Hydroxy-3-methoxy-a-methylphenylalanine,0.7995899493017837,0.3975728768939367,0.49210164855550925,-0.010413653892441203
Glutarylglycine,0.840780209275928,0.46372903727876236,0.4961654282449915,-0.031240961677323608
