"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"xylulose NIST",0.106798069650564,-2.02480204925035,0.902974671714043,-0.770458082843315,-0.0164613877590481,1.09412105288138,-0.126374485736364,0.370570963998442,0.583477351643135,1.10643419569314,0.338861051813408,-1.56514135180503
"xylitol",-1.83135962486314,-0.13754011012603,-0.706160089451301,-0.888534100665217,-0.081295973313111,-0.118658781965496,0.558172460103901,0.86708870057527,0.208317981271127,0.469311161498763,-0.513623749841571,2.17428212677682
"valine",0.897247066816179,-0.872272177432282,0.367962400767665,1.14632438741509,0.316030493748476,-0.686126360832245,-1.95372508884607,0.380967521679823,1.00765944198302,0.142619802414238,-1.40710419179067,0.660416704076808
"uridine",-0.301637736625843,0.412297192264287,0.806896475302948,-0.415149216259148,0.196874395741378,1.64608678607789,-1.1072356055541,-0.594451786225607,0.130819998467774,0.917447307745651,-2.13005391235423,0.438106101419008
"uric acid",-0.125882901206705,0.551738290331936,0.263679904918754,0.410653208058943,0.868578633158654,0.459514481895872,1.04193490931422,-0.58127186107221,0.122906707760714,0.796714687240937,-1.63038578491784,-2.17818027548327
"urea",0.52468333898926,0.511610518209575,-2.33375084215308,0.758263865595541,0.850701217471382,0.605961245506217,0.220202476656578,0.0206843041649442,-1.53983128346691,0.54622819343335,-0.638608942849896,0.473855908443064
"UDP-glucuronic acid",-1.3971802353909,-0.738096859674986,-0.27866299536002,-0.471338291470334,-1.29737142824723,0.236070525819237,0.340373843081452,0.269548658776182,0.130286436868427,2.10710673603453,-0.229730505943251,1.32899411550689
"tyrosine",0.296793588785207,0.657562168893604,-0.360663479044309,0.555550966594615,-0.90560768567122,1.12391793986134,-2.29521076483452,1.09516309553996,-0.6856250145044,0.578660398586247,-0.614803294233145,0.554262080026627
"tryptophan",0.941777808438682,0.834593392393797,-0.0458071508955716,1.07654105331749,0.975848810208585,0.416393914985924,-2.40192177593137,-0.376862525687351,-0.494624992348439,0.364356130253546,-0.579148518214811,-0.711146146520468
"trehalose",-0.469608588551835,-0.246012415536663,0.0810371179684158,-0.438840131969573,-0.579787829431056,-0.563804312875427,0.783084063315404,0.61386919047008,-0.0375702019030388,-1.02748847559422,2.68062393021371,-0.7955023461058
"trans-4-hydroxyproline",0.00921231866172827,-0.835318076964131,0.758878906994451,0.932786383847879,-1.29833321339902,1.1110492526878,-1.21021132812221,0.274285236000843,-1.40904274690308,0.463764043788089,-0.256506797090577,1.45943602049823
"tocopherol gamma-",0.356271929279846,1.07199210157059,-0.191174772539834,-0.927285258402215,-0.45633308503852,0.346262565542196,-0.477454271293964,0.643061257794216,-1.09511636698114,-0.953016158020033,2.31354671446384,-0.630754656374975
"tocopherol alpha-",0.662865705279858,0.312074380395305,0.469283382994983,1.14879921781517,0.764467115424269,-0.680788347436103,-0.610945012394548,0.746585251185287,-0.0972565640317948,0.441246346983128,-2.51607688517395,-0.640254591041608
"threonine",1.19085863654674,-0.176623892551682,0.696837784799158,0.636864420964656,0.499937346436884,-0.0654338457279787,-1.81363514536643,0.791234399473226,0.11994227639703,0.381212308515926,-2.07233184309131,-0.188862446396216
"threonic acid",0.245643833924234,0.023810265502394,0.695941334170171,0.558192544633145,0.207033241472143,1.42004109160555,0.651938418491083,-0.597757464638453,-2.08556150177211,0.416234065856465,0.126596534541726,-1.66211236378634
