"","Genotype.CUMS.model...Treatment.Albiflorin","Genotype.CUMS.model...Treatment.Albiflorin.1","Genotype.CUMS.model...Treatment.Albiflorin.2","Genotype.CUMS.model...Treatment.Albiflorin.3","Genotype.CUMS.model...Treatment.Albiflorin.4","Genotype.CUMS.model...Treatment.Albiflorin.5","Genotype.CUMS.model...Treatment.Albiflorin.6","Genotype.CUMS.model...Treatment.Albiflorin.7","Genotype.CUMS.model...Treatment.Saline","Genotype.CUMS.model...Treatment.Saline.1","Genotype.CUMS.model...Treatment.Saline.2","Genotype.CUMS.model...Treatment.Saline.3","Genotype.CUMS.model...Treatment.Saline.4","Genotype.CUMS.model...Treatment.Saline.5","Genotype.CUMS.model...Treatment.Saline.6","Genotype.CUMS.model...Treatment.Saline.7","Genotype.CUMS.model...Treatment.Saline.8","Genotype.CUMS.model...Treatment.Fluoxetine","Genotype.CUMS.model...Treatment.Fluoxetine.1","Genotype.CUMS.model...Treatment.Fluoxetine.2","Genotype.CUMS.model...Treatment.Fluoxetine.3","Genotype.CUMS.model...Treatment.Fluoxetine.4","Genotype.CUMS.model...Treatment.Fluoxetine.5","Genotype.CUMS.model...Treatment.Fluoxetine.6","Genotype.CUMS.model...Treatment.Fluoxetine.7","Genotype.Wild.type...Treatment.Saline","Genotype.Wild.type...Treatment.Saline.1","Genotype.Wild.type...Treatment.Saline.2","Genotype.Wild.type...Treatment.Saline.3","Genotype.Wild.type...Treatment.Saline.4","Genotype.Wild.type...Treatment.Saline.5","Genotype.Wild.type...Treatment.Saline.6","Genotype.Wild.type...Treatment.Saline.7"
"Creatine",-1.26052637429184,-0.515281861844927,-0.401929818571134,0.431656996595316,0.0405604348734366,0.910810960650441,-0.940797255084736,-1.54781975749628,0.290983581637344,-0.0320085116651238,-1.26052637429184,-0.823167702078117,-0.289690906630917,-2.96176799584096,0.00433355610290871,-0.326981545529105,-0.668188097958861,0.290983581637344,0.219992231149459,-1.22006767475844,0.466556476179242,0.396650627167415,0.290983581637344,-0.326981545529105,0.0766728525408251,1.65683493029979,1.30610928788575,0.431656996595316,1.07718319495012,0.877243915426956,1.30610928788575,0.843577998057142,1.65683493029979
"CoQ9",1.74982421129175,-0.393538007537918,0.462769438721253,0.917390019100345,0.114476817024868,-0.985621830384825,-1.34845762835684,0.359832392414554,0.0867424565852937,-0.597040477005757,1.40616994137076,1.17556808165129,-0.148959919641952,1.31098345180727,1.04393949534975,0.939002893512123,0.377332645361263,-1.14176253910714,-1.00535958793311,-1.40337486975518,-0.624572943990691,0.0707329801944919,1.80454281573114,0.176564229933336,1.0567054475886,-0.889549594816231,1.11447669297381,-0.646854269480352,-0.946678985261668,-0.339441978194384,-1.50922088877032,-1.1277282727133,-1.0588922176622
"CoQ9H2",1.12404820105848,-0.581175734585229,0.669086482586212,1.01772271645473,0.0356579180885544,-0.763398878394753,-0.329091263768691,-0.283357597939245,0.878228836250203,0.152824094367021,0.653467050014731,0.0555650772583469,0.0949170249483373,1.13703109270525,0.354516063636539,0.962841664114388,-0.0455698068693828,-2.02460376450913,-0.571002775945288,-0.00463101962606076,0.0155933884389473,-1.20163492110284,0.93494962757325,0.745773578170893,1.25098213918179,0.990430520342459,1.04472456454909,-1.90591539852256,-0.00463101962606076,0.283014158379979,-2.76079141215299,-0.495978108453718,-1.42959249662322
"Retinol",0.532672716078099,-0.942124359229574,0.364849981543428,-1.11345367187515,-1.28626262512498,0.532672716078099,0.0692089643865445,-0.565231465271908,0.179526789149106,0.112664707243977,-0.988601538096419,0.670554568155238,0.640535924863572,1.39579854197587,-0.328929838636403,-0.249959345211704,-0.781327239916074,-0.9146292231388,0.0816987082667862,1.15919803209327,-0.869436452492734,-0.440608084946554,-0.0459654584261513,0.268033413122898,0.0629416646840655,-0.565231465271908,-1.06472607422935,-0.112211943016402,-0.605425748338136,-0.440608084946554,1.19200844789067,3.98942577795311,0.0629416646840655
"Alpha-Tocopherol",0.631582321351217,-0.258041500315632,0.10208207911832,-0.292375597515474,0.316055609276273,-0.397106686372725,0.10208207911832,-0.190209611280517,0.519587158360268,-0.92394970878145,0.92491246468438,0.49111217229654,-0.92394970878145,0.575960573836759,0.976098005768918,1.19896478882346,0.603864151193218,0.256031994417779,-0.468417299107061,-4.07187220034841,0.133329935047248,0.794131557906697,1.50121617007538,0.547869092187077,1.50121617007538,0.10208207911832,-0.292375597515474,-0.223987684586039,-0.397106686372725,-0.766513316671516,-0.223987684586039,-0.964255039342511,-0.884030081078684
"Vitamin K2",-0.397815447169026,-1.10705712311701,1.82611861559097,-0.981029886491964,0.130264535290721,-0.499688318477363,0.842186266624395,-0.34905752425461,-0.912957561968224,-0.325187675128407,1.31695573672714,-0.499688318477363,-1.02498628540222,1.08811959252899,-0.385495670329597,-0.622011978099351,0.947082640325356,-0.0619581221691653,-0.636156926340054,-1.43993353828117,-0.124083013098925,0.351776824922121,0.0272112342208959,0.0748209687817829,3.24854369750861,-0.00200082618551572,0.918581132882607,-0.166783383777029,1.59420840791268,-0.650419261385187,-0.622011978099351,-0.863616330658163,-0.693930484406519
"Cholesterol",1.66741443646379,0.321185199673434,0.86764870783241,0.960391007325816,0.752651323093009,0.260974950435438,0.739612337535073,0.804277215012148,-0.161029852189149,-1.36009397444525,0.595946012245174,-1.25415692225742,-0.714496747364199,1.22336417566231,0.832951338484427,0.491710657885447,0.836121392794929,-0.418623862912863,-0.0711685296594011,-1.8379716279316,-1.88997580385876,0.643440013134671,0.101251854567476,0.187956665830563,0.32863166378017,-0.371890434296705,1.10917275346708,0.466887606317268,-0.217963100992216,-0.298521737470369,-2.28006624479544,-1.81594278587811,-0.499687687489244
"5,6-trans-25-Hydroxyvitamin D3",0.0422886895181706,-1.67062882529867,-0.896247399121251,-0.460153824681317,-0.312930869138892,-1.48726886938103,0.343828106021247,0.261695650542707,1.36571720534547,-0.475862777963188,0.42348382495374,0.378260788618724,0.289357835506144,2.03252276028865,0.983658623415592,0.720061987078908,1.0256390793436,0.253738673063688,0.706669235829628,-3.48526646692099,0.378260788618724,0.931768859283722,1.23159121589787,0.225698983463531,-0.377914824826958,-0.0995824201679379,-0.206473754730332,-0.168801607931644,-0.496954423143946,-0.032130725369264,-0.545035488989311,-0.235084661027647,-0.643905368097632
"Retinal",0.648732473124685,-0.361559651758119,1.3155428027723,0.346776777472645,-0.49126227472698,0.279263209399269,1.18362926056298,0.364548057343396,-2.17575496800304,-1.57956323383009,0.27015544490582,-0.0155514494280173,-0.584615003516815,-0.888251762399647,-0.830332419255278,-0.705172448280337,-0.934018311577329,-0.0505655911248,-0.451241635291488,-1.11678474136696,0.494848373083236,1.83844785083081,-0.638318002020961,1.57364807116216,-1.46146668263771,0.995406461557382,1.31885638881416,-1.42302787065321,0.887651721522277,0.991749134787362,0.27015544490582,0.713103485100497,0.214971088525926
"7-ketocholesterol",0.967069962482857,-0.178034259298773,0.149846105246649,0.42229124435272,0.841549322773214,-0.427703650441892,1.11806367552796,1.00708819344348,0.63839979179511,-0.466285936288671,-0.0336586266124398,-0.203230331447065,-0.418182381470388,1.89226646267851,0.60590978764506,0.348452251375735,1.23447165318509,-0.45656474475025,0.544822659646839,1.85089729483765,0.0345165346413311,0.323170183140417,0.742758822092927,-0.194793493457874,0.0713345015294715,-1.11293426152683,-0.362060427944516,-0.597536902164262,-1.22693226081066,-1.12680610717989,-1.73438372720039,-1.96462537871083,-2.2891759570903
