,t-score,p-value
C24 H29 N O3,5.716046893622891,9.45051673945918e-07
C8 H12 O3 S,-4.064230914169721,0.00020105732778739874
C36 H43 N5 O2,-3.583166625454298,0.000859676800820702
C35 H61 N17,-3.4180584785089976,0.0013906152268106688
C33 H24 Cl N S,-3.219704291385716,0.0024442617246617847
C13 H20 N6 O,-3.1362728299951876,0.0030837756709613862
2-pentadecenoic acid,2.9519680917021747,0.005097518192623217
Bis (2-hydroxypropyl) amine,-2.938343926446589,0.005287221568954169
4-Hydroxypyridine,-2.928783874288335,0.0054242542673953184
C19 H4 Cl N S,2.8991888780694146,0.005869788311092616
C36 H60 N16 O,-2.8589134052533844,0.0065310950046243155
Gln Lys Glu,-2.8281250843796455,0.007082705914062385
Ne-Methyl-L-lysine,2.8237350694538064,0.007164796022520107
Bis(2-hydroxypropyl)amine,-2.804129938796877,0.0075422970185808885
C27 H48 N12 O,-2.7557546296435995,0.008554110684466208
C18 H35 N7 O4,-2.747391118380474,0.008741288165968603
C11 H25 N O5,2.7325790668263643,0.009082107394859876
C20 H26 O5 S,-2.7312275995866586,0.009113807710179526
"1a,1b-dihomo-PGJ2",2.7214550302229257,0.009346094813445305
C38 H42 N2 S5,2.7213726550163853,0.009348075843221391
C20 H24 N4 O6 S,-2.7155426890770133,0.00948926855072303
4-Aminophenyl1-thio-beta-D-glucuronide+2.5971124,-2.696603290942569,0.009961645168980956
C39 H53 N3 O3 + 4.4767947,2.6877903406796677,0.01018876284648391
C5 H5 N5 O3 + 2.1794953,2.6594674269992438,0.010951359587412666
Gln Pro Lys,2.656606736451323,0.011031234305549663
Creatinine+6.952171,-2.6054777037079906,0.012552189139832968
C4 H2 O8 S2,-2.589538382044106,0.013064261754679712
Isoniazid,-2.568256578425332,0.013777782568104704
C10 H21 N O,-2.568086046747268,0.013783641192511794
C19 H39 N O15,-2.5627018421850742,0.013969790596467526
C34 H24 Cl N9 O,2.531507537950557,0.015094207311343076
C25 H30 N6 O10 S2,2.5070102770526823,0.016034395155118616
C27 H50 O S5,2.49234117743696,0.0166225869858084
C7 H5 N O3 S2,-2.4787344688000963,0.01718564032692594
N_N-Didemethylchlorpromazine,2.4432338093006676,0.018737099205618862
C31 H65 N5 O2 S2,-2.4325188100619517,0.019229685277708835
D-Homoserine,-2.3620831128614053,0.02276972897579975
3-(a-Naphthoxy)lacticacid,-2.361182765848662,0.02281854867975449
C29 H51 Cl N10 O2,-2.353608898735837,0.02323296838905099
C51 H61 N O,-2.3335793229243893,0.02436170684047004
C12 H17 Cl N2 O,-2.2970287197769648,0.02654887717635597
C19 H38 N2 O3,-2.291622261491723,0.026886893155520824
C25 H11 N3 O21 + 4.8295274,-2.277595104168286,0.02778188070798877
C14 H32 N2 S,2.270839628267306,0.028222318459011055
Vigabatrin,-2.252014808734554,0.029482671548821376
C8 H17 N7,-2.2517856239486043,0.029498319837013932
C10 H20 N6 O,2.247764504469619,0.029774079478712173
C26 H53 N O7 S,2.238536390049771,0.030415613760596476
C30 H60 N8 O7 + 4.5827484,-2.223735268055025,0.03147026573424861
C12 H8 N4 O S,-2.1925950742911846,0.03379573447586493
C15 H4 O4,2.179269467112165,0.034836478148127036
Deoxyadenosine,-2.172956631603571,0.03533933239247033
Nalidixic acid,-2.168079760434008,0.03573218236116734
dodecanamide,-2.1600065845027627,0.036390983612738334
4-Aminobutyraldehyde + 5.6039686,2.146672401031954,0.037502579952950366
C39 H68 N6 O5,2.1304370112309745,0.03889632616725004
C8 H26 N6 O4,-2.1287657627085026,0.039042350409741376
8-AminoCaprylicacid,2.1277384852819448,0.03913234706473077
C18 H9 N7 O2 S2,-2.12185319110187,0.03965146272367153
Ethosuximide,2.1067802431939446,0.04100865593213296
8-Amino Caprylic acid,2.105236284763522,0.04114995087697218
C28 H5 N5 O16,-2.0902290277194475,0.042545722304081365
C3 H7 N,2.0758781009462175,0.04391903693628337
C21 H36 N2 O3,2.054197833135668,0.04606718062542567
C25 H11 N3 O21,-2.0397820824138035,0.04754573033145536
