"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"xylulose NIST",7.4178525148859,6.37503943134692,7.8073549220576,6.98868468677217,7.35755200461808,7.90086680798075,7.3037807481771,7.54689445988764,7.65105169117893,7.90689059560852,7.53138146051631,6.59991284218713
"xylitol",7.19967234483636,8.12412131182919,7.81378119121704,7.71424551766612,8.1548181090521,8.13442632022093,8.50382573799575,8.6724253419715,8.31288295528435,8.45532722030456,7.91886323727459,9.38586240064146
"valine",17.087224554785,16.106685613379,16.7939334657864,17.2252451007961,16.7651565777704,16.2098340942726,15.5074230190982,16.8011399584727,17.148407067389,16.6690649776016,15.8103205871757,16.9559903826063
"uridine",7.98868468677217,8.35314682549808,8.55458885167764,7.93073733756289,8.24317398347295,8.98299357469431,7.57742882803575,7.83920378809694,8.20945336562895,8.61102479730735,7.05528243550119,8.36632221424582
"uric acid",13.1328210067796,13.9448950396779,13.5996804305812,13.775816012673,14.3246024900897,13.8343722859903,14.5323559252888,12.587074277201,13.4309751725881,14.2384793801426,11.3297963382207,10.6733090755617
"urea",18.544123007656,18.5321047590545,15.9162760281035,18.7588608124913,18.8438413299814,18.6188443017667,18.2642043306086,18.080781101763,16.6461508414069,18.5639298589207,17.47467242197,18.4973957782098
"UDP-glucuronic acid",6.85798099512757,7.56985560833095,8.06608919045777,7.85798099512757,6.96578428466209,8.62205181945638,8.73470962022584,8.6582114827518,8.5077946401987,10.6429542234803,8.11894107272351,9.80251636512122
"tyrosine",15.2103669456326,15.3770749323772,14.9065618190445,15.3299364533124,14.6547478957045,15.5925738310379,14.0126245388651,15.5792864704686,14.7563999525934,15.3406151185138,14.7891260464252,15.3293408701693
"tryptophan",15.2671890222266,15.2069380335244,14.7120432984081,15.3429427469216,15.2863411678319,14.971857851924,13.3876134895574,14.5259489538904,14.4597517835353,14.9426061370228,14.412239036907,14.3380399331079
"trehalose",7.63662462054365,7.74146698640115,7.89481776330794,7.65105169117893,7.58496250072116,7.59245703726808,8.2240016741981,8.14465824283188,7.83920378809694,7.37503943134692,9.11374216604919,7.48381577726426
"trans-4-hydroxyproline",11.6456584324087,11.1743015444676,12.0640690803855,12.1611318829843,10.9158793788358,12.2606255560682,10.9650627567446,11.7936033092794,10.8540891798706,11.8993569229231,11.497352893477,12.455070307288
"tocopherol gamma-",8.90689059560852,9.33762190199251,8.57742882803575,8.13442632022093,8.4178525148859,8.90086680798075,8.40514146313634,9.07948478382682,8.03342300153745,8.11894107272351,10.0848083878044,8.31288295528435
"tocopherol alpha-",10.7927902943011,10.5196362528432,10.642051692928,11.1711767976518,10.8719052376592,9.74651432113846,9.8008998999203,10.8579809951276,10.2008986050384,10.6202198255075,8.31741261376487,9.77807712953536
"threonine",14.5223363209133,13.1685154311876,14.0332509140987,13.9738767056108,13.8383175815122,13.2785946496905,11.5478585060584,14.1267044728432,13.4621187980792,13.7207786491671,11.2917462808339,13.1563991448716
"threonic acid",9.57742882803575,9.35755200461808,10.0237543532994,9.88722061546838,9.53915881110803,10.7414669864011,9.98013957763916,8.74146698640115,7.2667865406949,9.74651432113846,9.4594316186373,7.68650052718322
"threitol",7.74819284958946,8.02236781302845,7.88874324889826,8.57742882803575,7.71424551766612,8.58120058192496,7.93073733756289,7.29462074889163,7.76818432477693,7.5077946401987,7.67948009950545,7.29462074889163
"taurine",10.9758479680068,10.742309436084,11.3728650601126,10.4978518369511,10.5284541107648,10.2526654324502,8.48381577726426,8.90989308377004,8.66533591718518,10.4655664048094,7.56985560833095,8.876516946565
"sucrose",7.25738784269265,7.7279204545632,7.10852445677817,7.91886323727459,7.4093909361377,9.92481250360578,6.35755200461808,8.38370429247405,5.6724253419715,5.90689059560852,7.24792751344359,7.54689445988764
"succinic acid",10.6653359171852,9.8376279331714,9.67595703294175,8.65463602852797,10.1344263202209,10.2419831496943,8.93369065495223,8.8073549220576,10.1137421660492,9.33091687811462,9.27379559921426,9.86263735755879
"stearic acid",17.0216089847969,16.7939334657864,16.6255233580841,16.3991443849114,16.9665279825744,17.2045138326617,16.7632383068689,16.9317647625089,16.6782837721809,16.5380828119626,16.037203741152,16.5111812679813
"squalene",11.3564519702218,9.16992500144231,9.34207466799914,8.59618975614441,8.69696752623429,9.93810932621924,7.2667865406949,7.59991284218713,8.37503943134693,7.93663793900257,7.25738784269265,8.0389189892923
"shikimic acid",8.20945336562895,7.4262647547021,7.72109918870719,8.01122725542325,10.311748315005,8.28540221886225,8.88569637333939,9.60362634498619,8.55074678538324,12.5693809595223,7.53138146051631,6.28540221886225
"serine",15.7685720383286,15.5124318451283,15.3992111562553,15.722060380242,15.5421250161602,15.7213662505989,13.8567173063676,14.9571473972075,14.5911132288915,14.6595499968799,13.9415978682661,14.644982855229
