"","Genotype.CUMS.model...Treatment.Albiflorin","Genotype.CUMS.model...Treatment.Albiflorin.1","Genotype.CUMS.model...Treatment.Albiflorin.2","Genotype.CUMS.model...Treatment.Albiflorin.3","Genotype.CUMS.model...Treatment.Albiflorin.4","Genotype.CUMS.model...Treatment.Albiflorin.5","Genotype.CUMS.model...Treatment.Albiflorin.6","Genotype.CUMS.model...Treatment.Albiflorin.7","Genotype.CUMS.model...Treatment.Saline","Genotype.CUMS.model...Treatment.Saline.1","Genotype.CUMS.model...Treatment.Saline.2","Genotype.CUMS.model...Treatment.Saline.3","Genotype.CUMS.model...Treatment.Saline.4","Genotype.CUMS.model...Treatment.Saline.5","Genotype.CUMS.model...Treatment.Saline.6","Genotype.CUMS.model...Treatment.Saline.7","Genotype.CUMS.model...Treatment.Saline.8","Genotype.CUMS.model...Treatment.Fluoxetine","Genotype.CUMS.model...Treatment.Fluoxetine.1","Genotype.CUMS.model...Treatment.Fluoxetine.2","Genotype.CUMS.model...Treatment.Fluoxetine.3","Genotype.CUMS.model...Treatment.Fluoxetine.4","Genotype.CUMS.model...Treatment.Fluoxetine.5","Genotype.CUMS.model...Treatment.Fluoxetine.6","Genotype.CUMS.model...Treatment.Fluoxetine.7","Genotype.Wild.type...Treatment.Saline","Genotype.Wild.type...Treatment.Saline.1","Genotype.Wild.type...Treatment.Saline.2","Genotype.Wild.type...Treatment.Saline.3","Genotype.Wild.type...Treatment.Saline.4","Genotype.Wild.type...Treatment.Saline.5","Genotype.Wild.type...Treatment.Saline.6","Genotype.Wild.type...Treatment.Saline.7"
"Creatine",28.071119921723,28.1651882460839,28.1794960827678,28.2847153948223,28.2353493175013,28.3451964983483,28.1114776593391,28.0348563777362,28.2669589240181,28.2261893182158,28.071119921723,28.1263254237464,28.1936634146944,27.85638107293,28.2307765877115,28.1889564120168,28.1458876901249,28.2669589240181,28.2579980564465,28.0762268121561,28.2891205739423,28.2802967235553,28.2669589240181,28.1889564120168,28.2399075994636,28.4393632095229,28.3950929425954,28.2847153948223,28.3661967969609,28.3409595054619,28.3950929425954,28.3367100324605,28.4393632095229
"CoQ9",16.8361490042455,15.4054074222192,15.9770115400853,16.2804808103184,15.7445185287799,15.0101784040205,14.7679775016039,15.9082987900013,15.7260052311286,15.2695650328392,16.606752195112,16.452820364694,15.5686686933805,16.5432131126978,16.3649553784819,16.2949078809537,15.919980595049,14.9059510351449,14.9970030152728,14.7313190310251,15.2511865035243,15.7153185523313,16.8726748802706,15.7859632470773,16.3734769333278,15.0743087414403,16.4120405145517,15.2363132270428,15.0361736125535,15.4415177156285,14.6606644774613,14.9153192176791,14.9612688035396
"CoQ9H2",14.2511865035243,13.2819300269554,13.9925843440058,14.1907506496624,13.6325408765469,13.1783536235129,13.4252159032994,13.4512111118323,14.1114617398577,13.6991386252759,13.9837061926593,13.6438561897747,13.6662240028032,14.2585660338899,13.813781191217,14.1595560280588,13.586370695114,12.4614794472862,13.2877123795494,13.6096404744368,13.6211361132746,12.929258408637,14.1437020768579,14.0361736125535,14.3233362892802,14.175237650291,14.2060986139958,12.5289424150649,13.6096404744368,13.7731392067197,12.0430272835945,13.3303567169579,12.7996863613313
"Retinol",15.606752195112,14.7936033092794,15.5142209093581,14.6991386252759,14.6038581218428,15.606752195112,15.3512153218556,15.0014081943928,15.4120405145517,15.3751752207998,14.7679775016039,15.682775179067,15.6662240028032,16.082648042353,15.1316962235978,15.175237650291,14.8822609290998,14.8087631164504,15.3581017074408,15.9521952199141,14.8336807486547,15.0701209444768,15.2877123795494,15.4608398130301,15.3477597632194,15.0014081943928,14.7260052311286,15.2511865035243,14.9792465444686,15.0701209444768,15.970285676897,17.5126787445497,15.3477597632194
"Alpha-Tocopherol",20.5261171188745,20.2184497171123,20.3429948150506,20.206575616824,20.4169953964944,20.1703554289113,20.3429948150506,20.2419086899363,20.4873847243858,19.9881520976905,20.6275623824341,20.4775369384295,19.9881520976905,20.5068809000116,20.6452643841675,20.7223406071862,20.5165310700453,20.3962368363276,20.145693374677,18.8994749396143,20.3538015700072,20.5823331284411,20.8268711906575,20.4971657451784,20.8268711906575,20.3429948150506,20.206575616824,20.2302268848887,20.1703554289113,20.0425998817129,20.2302268848887,19.9742129067327,20.0019578972156
"Vitamin K2",20.406653452273,19.8112743356065,22.2735543165528,19.9170689996291,20.8499548037705,20.3211353810869,21.4475837163278,20.4475837163278,19.9742129067327,20.4676214695644,21.8461330928181,20.3211353810869,19.8801694168175,21.6540345937953,20.4169953964944,20.2184497171123,21.535639892993,20.6885918158316,20.206575616824,19.5318383228332,20.6364405337805,21.0359052291389,20.7634458105158,20.8034122178335,23.4676214695644,20.7389234913818,21.5117140537476,20.6005953348338,22.0788752681045,20.194602975158,20.2184497171123,20.0156328341126,20.1580770991329
"Cholesterol",23.6320082874653,23.0190314105745,23.2678519571886,23.3100801925779,23.2154903416318,22.9916159529941,23.2095533166239,23.2389970945164,22.7994650333168,22.2534966642115,23.144137908175,22.3017328498644,22.5474556432402,23.429819436852,23.2520532473419,23.0966765544687,23.2534966642115,22.6821750741598,22.8403814770637,22.0359052291389,22.0122262326694,23.165763292278,22.9188894352534,22.9583686286679,23.0224219997753,22.7034541478395,23.3778247992137,23.0853739054032,22.7735416882514,22.7368610249249,21.8346068394371,22.0459355942762,22.6452643841675
"5,6-trans-25-Hydroxyvitamin D3",22.5451002222421,21.6096404744368,22.032546217049,22.2707059542438,22.351107460838,21.7097771457223,22.7097771457223,22.664922909938,23.2678519571886,22.262126969355,22.7532787843588,22.7285815471603,22.6800298023282,23.6320082874653,23.05920184905,22.9152462640222,23.0821282458996,22.660577439662,22.9079322050569,20.6186292576641,22.7285815471603,23.0308637736619,23.194602975158,22.6452643841675,22.3156183761193,22.4676214695644,22.4092458968895,22.429819436852,22.2506083848867,22.5044582377448,22.224350318552,22.3936208881206,22.1703554289113
"Retinal",16.3002810530525,15.8557444843207,16.5936829005338,16.1674181458317,15.7986742988268,16.1377116390155,16.535639892993,16.175237650291,15.0574841187989,15.3198132227165,16.133704150214,16.0079908447828,15.7575983558239,15.6239957674139,15.6494807389686,15.7045521214623,15.6038581218428,15.9925843440058,15.8162836984202,15.5234394393875,16.232570825357,16.8237652797897,15.733968609439,16.7072512710632,15.3717766443379,16.452820364694,16.5951409047417,15.3886900272743,16.4054074222192,16.4512111118323,16.133704150214,16.3286048101963,16.1094225945841
"7-ketocholesterol",21.9742129067327,21.0821282458996,21.337560929,21.5498072249196,21.8764270151317,20.8876252217366,22.0918434007328,22.0053888026158,21.718164931215,20.8575679878804,21.194602975158,21.0624994391506,20.8950426932991,22.6949801437942,21.6928538426858,21.4922835237987,22.1825301428574,20.8651412075852,21.6452643841675,22.6627518108964,21.2477143116175,21.4725877224577,21.7994650333168,21.0690720930741,21.2763970663216,20.3538015700072,20.9387640707284,20.7553179296324,20.2649923030494,20.3429948150506,19.8696661303983,19.690298137782,19.4374594990541
